Timestamp,Task,Type,Mode,Agent,Round,Model Name,Role Name,Data Num,Mean Fluency,STD Fluency,Mean Flexibility,STD Flexibility,Mean Originality,STD Originality,Mean Elaboration,STD Elaboration,File Name
0908-2342, AUT , api         , persona , PersonaAPI  ,     1, Llama31                , PersonaAPI-English-test3                               ,       10,        9.867,       0.4  ,            6.867,           0.67 ,            3.92 ,           0.564,            3.88 ,           0.527, AUT_persona_api_0908-2342_10 (analytical_thinker_response_avg_diff.pt creative_professional_response_avg_diff.pt environmentalist_response_avg_diff.pt futurist_response_avg_diff.pt futurist_response_avg_diff.pt)
0909-0149, AUT , api         , persona , PersonaAPI  ,     1, Llama31                , PersonaAPI-English-test3                               ,      100,        9.803,       0.631,            7.433,           1.399,            4.05 ,           0.462,            3.918,           0.439, AUT_persona_api_0909-0149_100 (analytical_thinker_response_avg_diff.pt creative_professional_response_avg_diff.pt environmentalist_response_avg_diff.pt futurist_response_avg_diff.pt futurist_response_avg_diff.pt)
0909-0313, AUT , discussion  , roleplay, 4           ,     5, qwen2-5-7b-instruct    , Environmentalist-CreativeProfessional-Futurist-Futurist,       10,        4.375,       3.14 ,            5.367,           1.643,            3.976,           0.714,            1.704,           0.53 , AUT_multi_debate_roleplay_4_5_qwen2-5-7b-instruct_Environmentalist-CreativeProfessional-Futurist-Futurist_multi_agent_2025-09-09-03-13-47_10
0909-1354, AUT , api         , persona , PersonaAPI  ,     1, Llama31                , PersonaAPI-English-test1                               ,      100,        4.897,       0.319,            4.79 ,           0.436,            4.51 ,           0.426,            4.629,           0.367, AUT_persona_api_0909-1354_100
0909-1821, AUT , discussion  , roleplay, 4           ,     5, llama-3-1-8b-instruct  , Environmentalist-CreativeProfessional-Futurist-Futurist,       10,       11.475,       6.3  ,            6.908,           2.581,            3.991,           1.367,            3.358,           1.308, AUT_multi_debate_roleplay_4_5_llama-3-1-8b-instruct_Environmentalist-CreativeProfessional-Futurist-Futurist_multi_agent_2025-09-09-18-21-18_10
0909-1826, AUT , api         , persona , PersonaAPI  ,     1, Qwen25                 , PersonaAPI-English-test1                               ,      100,        4.58 ,       1.06 ,            4.623,           0.743,            4.45 ,           0.469,            4.168,           0.969, AUT_persona_api_0909-1826_100
0909-2056, AUT , api         , persona , PersonaAPI  ,     1, Qwen25                 , PersonaAPI-Chinese                                     ,      100,        4.747,       1.182,            5.037,           0.753,            4.336,           0.517,            4.344,           0.695, AUT_persona_api_0909-2056_100
0910-0004, AUT , discussion  , roleplay, 4           ,     5, llama-3-1-405b-instruct, Environmentalist-CreativeProfessional-Futurist-Futurist,       10,       14.692,       6.259,            7.083,           1.972,            4.052,           0.955,            3.335,           0.872, AUT_multi_debate_roleplay_4_5_llama-3-1-405b-instruct_Environmentalist-CreativeProfessional-Futurist-Futurist_multi_agent_2025-09-10-00-04-11_10
0910-1604, AUT , baseline    , vanilla , VanillaQwen ,     1, Qwen25                 , VanillaQwen-RolePlayPrompt-Chinese                     ,       10,        9.4  ,       0.929,            8.7  ,           1.394,            4.232,           0.214,            3.915,           0.313, AUT_vanilla_qwen_1_1_Qwen25_VanillaQwen_vanilla_0910-1604_10
0910-1642, AUT , baseline    , vanilla , VanillaQwen ,     1, Qwen25                 , VanillaQwen-RolePlayPrompt-English-test1               ,       10,        8.867,       1.733,            7.133,           1.447,            4.197,           0.29 ,            4.14 ,           0.258, AUT_vanilla_qwen_1_1_Qwen25_VanillaQwen_vanilla_0910-1642_10
0910-1753, AUT , baseline    , vanilla , VanillaLlama,     1, Llama31                , VanillaLlama-RolePlayPrompt-English-test1              ,       10,        8.7  ,       1.997,            5.8  ,           1.746,            4.29 ,           0.356,            4.07 ,           0.253, AUT_llama_1_1_Llama_Llama_llama_0910-1753_10
0910-2007, AUT , baseline    , vanilla , VanillaLlama,     1, Llama31                , VanillaLlama                                           ,       10,        4.933,       0.2  ,            4.767,           0.335,            3.78 ,           0.635,            4.1  ,           0.326, AUT_llama_1_1_Llama_Llama_llama_0910-2007_10
0910-2107, AUT , api         , persona , PersonaAPI  ,     1, Qwen25                 , PersonaAPI-Chinese                                     ,       10,        2.333,       1.592,            4.667,           0.422,            4.815,           0.21 ,            4.48 ,           0.538, AUT_persona_api_0910-2107_10 (creative_professional_response_avg_diff.pt environmentalist_response_avg_diff.pt futurist_response_avg_diff.pt futurist_response_avg_diff.pt)
0910-2125, AUT , api         , persona , PersonaAPI  ,     1, Qwen25                 , PersonaAPI-English-test1                               ,       10,        2.1  ,       1.484,            4.667,           0.422,            4.62 ,           0.374,            3.68 ,           1.459, AUT_persona_api_0910-2125_10
0910-2156, AUT , api         , persona , PersonaAPI  ,     1, PersonaAPI             , PersonaAPI                                             ,       10,        3.2  ,       1.875,            4.633,           0.379,            4.7  ,           0.286,            4.76 ,           0.174, AUT_persona_api_0910-2156_10
0910-2353, AUT , baseline    , baseline, OpenAI      ,     1, gpt-3.5-turbo          , GPT-RolePlayPrompt-English-test1                       ,       10,        4.767,       0.597,            4.767,           0.3  ,            3.3  ,           0.628,            3.54 ,           0.514, AUT_openai_baseline_1_1_gpt_3_5_turbo_0125_OpenAI_baseline_0910-2353_10
0911-0000, AUT , baseline    , baseline, OpenAI      ,     1, gpt-3.5-turbo          , GPT-English-test1                                      ,       10,        7.8  ,       0.6  ,            2.7  ,           1.792,            3.64 ,           0.335,            3.44 ,           0.294, AUT_openai_baseline_1_1_gpt_3_5_turbo_0125_OpenAI_baseline_0911-0000_10
0911-0145, AUT , baseline    , baseline, OpenAI      ,     1, gpt-3.5-turbo          , GPT-English-test1(3.5 judge)                           ,       10,        7.533,       1.275,            4.5  ,           2.99 ,            4.05 ,           0.242,            3.66 ,           0.291, AUT_openai_baseline_1_1_gpt_3_5_turbo_0125_OpenAI_baseline_0911-0145_10
0911-0231, AUT , baseline    , baseline, OpenAI      ,     1, gpt-3.5-turbo          , GPT-RolePlayPrompt-English-test1(3.5 judge)            ,       10,        7.333,       0.558,            2.4  ,           0.8  ,            3.93 ,           0.249,            3.58 ,           0.289, AUT_openai_baseline_1_1_gpt_3_5_turbo_0125_OpenAI_baseline_0911-0231_10
0911-1322, AUT , single_agent, qwen    , Qwen        ,     1, Qwen                   , Qwen-Eng1                                              ,       10,        4.667,       0.394,            4.867,           0.4  ,            4.21 ,           0.291,            4.3  ,           0.349, AUT_qwen_1_1_Qwen_Qwen_qwen_0911-1322_10(3.5 judge)
0911-1332, AUT , single_agent, llama   , Llama       ,     1, Llama                  , Llama-Eng1                                             ,       10,        4.833,       0.269,            5.0  ,           0.0  ,            4.02 ,           0.209,            4.12 ,           0.256, AUT_llama_1_1_Llama_Llama_llama_0911-1332_10(3.5 judge)
0911-1425, AUT , single_agent, baseline, OpenAI      ,     1, gpt                    , 3.5-turbo-Eng1                                         ,       10,        7.067,       1.209,            3.667,           2.966,            4.09 ,           0.192,            3.83 ,           0.257, AUT_openai_baseline_1_1_gpt_3_5_turbo_0125_OpenAI_baseline_0911-1425_10(3.5 judge)
0912-0527, AUT , single_agent, qwen    , Qwen        ,     1, Qwen                   , Qwen-Eng1                                              ,      100,        4.857,       0.366,            4.873,           0.319,            4.141,           0.489,            4.143,           0.813, AUT_qwen_1_1_Qwen_Qwen_qwen_0912-0527_100
0912-0529, AUT , single_agent, llama   , Llama       ,     1, Llama                  , Llama-Eng1                                             ,      100,        4.907,       0.427,            4.57 ,           0.532,            3.782,           0.476,            4.08 ,           0.306, AUT_llama_1_1_Llama_Llama_llama_0912-0529_100
0912-1641, AUT , single_agent, qwen    , Qwen        ,     1, Qwen                   , Qwen-RolePlayPrompt-Eng1                               ,      100,        7.49 ,       3.323,            5.893,           2.565,            3.719,           1.25 ,            3.58 ,           1.276, AUT_qwen_1_1_Qwen_Qwen_qwen_0912-1641_100
0912-1644, AUT , single_agent, llama   , Llama       ,     1, Llama                  , Llama-RolePlayPrompt-Eng1                              ,      100,        9.2  ,       1.179,            6.133,           1.546,            4.362,           0.341,            4.232,           0.348, AUT_llama_1_1_Llama_Llama_llama_0912-1644_100
0913-1905, AUT , api         , persona , Qwen        ,     1, Qwen                   , PersonaAPI                                             ,      100,        1.53 ,       1.461,            4.727,           0.43 ,            4.773,           0.315,            4.118,           1.319, AUT_persona_api_0913-1905_100 (failed parser)
0913-1905, AUT , api         , persona , Qwen        ,     1, Qwen                   , PersonaAPI                                             ,      100,        1.728,       1.732,            4.786,           0.408,            4.855,           0.183,            4.699,           0.345, AUT_persona_api_0913-1905_100
0916-0132, AUT , api         , persona , Gemma       ,     1, Gemma2-9b              , Gemma-Eng1                                             ,      100,        2.767,       1.729,            4.803,           0.343,            4.854,           0.187,            4.764,           0.29 , AUT_persona_api_0916-0132_100
0916-0155, AUT , single_agent, Gemma   , Gemma       ,     1, Gemma2-9b              , Gemma-Eng1                                             ,      100,        4.943,       0.2  ,            4.71 ,           0.405,            4.086,           0.479,            4.028,           0.367, AUT_gemma_1_1_Gemma_Gemma_gemma_0916-0155_100
0916-1205, AUT , unknown     , unknown , Unknown     ,     1, Unknown                , Unknown                                                ,      100,        0.3  ,       2.1  ,            0.067,           0.469,            0.087,           0.611,            0.079,           0.556, AUT_gemma_1_1_Gemma_Gemma_gemma_0916-1205_100
0918-0527, AUT , api         , persona , Gemma       ,     1, Gemma3-4b              , PersonaAPI                                             ,      100,        0.74 ,       1.317,            3.863,           2.035,            3.86 ,           2.059,            3.81 ,           2.08 , AUT_persona_api_0918-0527_100
0918-0527,AUT,api,persona,PersonaAPI,1,PersonaAPI,PersonaAPI,100,0.633,1.249,4.881,0.416,4.934,0.165,4.425,1.083,AUT_persona_api_0918-0527_100
0918-2135,AUT,unknown,unknown,Unknown,1,Unknown,Unknown,100,nan,nan,nan,nan,nan,nan,nan,nan,AUT_gemma_1_1_Gemma_Gemma_gemma_0918-2135_100
